variant,seed,mask_seed,grid_index,n,accuracy,macro_f1,mae,pearson_r
T0,2026,5102,48,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,49,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,50,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,51,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,52,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,53,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,54,679,0.5655375552282769,0.5400235294023747,0.6227704116276332,0.5690884663556971
T0,2026,5102,55,679,0.5316642120765832,0.5095268706687321,0.6593219621850395,0.48958586096340884
T0,2026,5102,56,679,0.5051546391752577,0.4857589013718755,0.6881299387548387,0.4258637438227431
T0,2026,5102,57,679,0.5876288659793815,0.562075501086452,0.6099376911530614,0.6072054773307735
T0,2026,5102,58,679,0.5625920471281296,0.5406873657607643,0.6416448237530789,0.5360411990583118
T0,2026,5102,59,679,0.49337260677466865,0.48446547700835757,0.6891474613867733,0.36063176152100185
T0,2026,5102,60,679,0.5699558173784978,0.5533469558116323,0.6266008838243091,0.5616864817573564
T0,2026,5102,61,679,0.4845360824742268,0.47800275092394384,0.6773062855093047,0.48607383977748275
T0,2026,5102,62,679,0.4653902798232695,0.46087841165638893,0.6959501162105527,0.452355431488956
T0,2026,5103,0,679,0.5670103092783505,0.54020865237366,0.6170785115244463,0.591804760060666
T0,2026,5103,1,679,0.5463917525773195,0.5169523352981896,0.6450371245835772,0.5099345860297467
T0,2026,5103,2,679,0.49042709867452133,0.4698824238769973,0.6965242168469703,0.4128982518845373
T0,2026,5103,3,679,0.5817378497790869,0.5611921176415564,0.6222190834110018,0.5680057674693516
T0,2026,5103,4,679,0.5846833578792342,0.5638320990680086,0.63263742483066,0.5430840145232553
T0,2026,5103,5,679,0.5007363770250368,0.49201785531774156,0.6848434870390548,0.40720313026667526
T0,2026,5103,6,679,0.5846833578792342,0.5704318930854755,0.6081015289444285,0.5987062914098658
T0,2026,5103,7,679,0.5139911634756995,0.5118295373846601,0.6595375552795422,0.5324852430482933
T0,2026,5103,8,679,0.4653902798232695,0.4595701961519606,0.70207451071058,0.42342946365118644
T0,2026,5103,9,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,10,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,11,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,12,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,13,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,14,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,15,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,16,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,17,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,18,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,19,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,20,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,21,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,22,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,23,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,24,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,25,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,26,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,27,679,0.5699558173784978,0.5410375276240509,0.621151712247128,0.5850970040540239
T0,2026,5103,28,679,0.5346097201767305,0.507055301749821,0.6518380777123048,0.5230122575413094
T0,2026,5103,29,679,0.5007363770250368,0.4799111861650561,0.6873262688320059,0.4281186022494401
T0,2026,5103,30,679,0.5787923416789397,0.5520574054339816,0.6231467453913766,0.5757201049733776
T0,2026,5103,31,679,0.5773195876288659,0.55593374101959,0.6314359679708424,0.5254877992516434
T0,2026,5103,32,679,0.4992636229749632,0.49241562676195705,0.6927965447548036,0.4103099007392564
T0,2026,5103,33,679,0.5684830633284241,0.5514872466810751,0.6229112926919962,0.5784020966764248
T0,2026,5103,34,679,0.49189985272459497,0.48887183109646026,0.6802211693311124,0.4669761010895289
