variant,seed,rule,neutral_bias,condition,inconsistency_rate_all_conditions,accuracy,macro_f1,mae,pearson_r
M3,2027,unified,0,stress,0.0,0.5561255922303985,0.5379323781958594,0.6408592549561916,0.5476197979558283
M3,2027,dual_raw,0,clean,0.3631106107763283,0.5865384615384616,0.5692756506834004,0.6205534377716774,0.6018313547469447
M3,2027,dual_raw,0,stress,0.3631106107763283,0.5541737786784593,0.5388220760073632,0.6475137992685217,0.5540324880775971
M3,2027,dual_calibrated,-0.1,clean,0.34578283998852166,0.5892857142857143,0.5692702090808497,0.6205534377716774,0.6018313547469447
M3,2027,dual_calibrated,-0.1,stress,0.34578283998852166,0.5575109493540995,0.5400969193442098,0.6475137992685217,0.5540324880775971
M3,2028,unified,0,clean,0.0,0.5879120879120879,0.559384557509323,0.6149892691154402,0.5928735875137501
M3,2028,unified,0,stress,0.0,0.5506748378961848,0.5230615733674098,0.6487691842962148,0.5381290246577688
M3,2028,dual_raw,0,clean,0.35172063660243247,0.5934065934065934,0.5668974069900786,0.6250705156081284,0.5983402174310013
M3,2028,dual_raw,0,stress,0.35172063660243247,0.5582219194497122,0.5339198966732394,0.6563668898979106,0.5447517690697073
M3,2028,dual_calibrated,0.0,clean,0.35172063660243247,0.5934065934065934,0.5668974069900786,0.6250705156081284,0.5983402174310013
M3,2028,dual_calibrated,0.0,stress,0.35172063660243247,0.5582219194497122,0.5339198966732394,0.6563668898979106,0.5447517690697073
M3,2029,unified,0,clean,0.0,0.5508241758241759,0.5439253102213272,0.6237531184822649,0.6143833922176379
M3,2029,unified,0,stress,0.0,0.5334354132587648,0.5262132488475857,0.6513383961893754,0.5757918865977864
M3,2029,dual_raw,0,clean,0.32425225702492105,0.5782967032967034,0.5675076491618227,0.6329116380605898,0.6173301303681921
M3,2029,dual_raw,0,stress,0.32425225702492105,0.5627814957791505,0.5505978421531379,0.6592815372522578,0.5789183350913975
M3,2029,dual_calibrated,-0.2,clean,0.28531885305608895,0.592032967032967,0.5780605423709023,0.6329116380605898,0.6173301303681921
M3,2029,dual_calibrated,-0.2,stress,0.28531885305608895,0.5702379152190933,0.5519928662688235,0.6592815372522578,0.5789183350913975
M3,2030,unified,0,clean,0.0,0.5728021978021978,0.5503358046509603,0.6118861568252464,0.6161211198019344
M3,2030,unified,0,stress,0.0,0.5502316702858588,0.5265416227592596,0.6581839803113659,0.559103678068305
M3,2030,dual_raw,0,clean,0.3330463766196499,0.5521978021978022,0.5381815000451207,0.6187407811515157,0.6175323298757928
M3,2030,dual_raw,0,stress,0.3330463766196499,0.5396568188794767,0.5235758488565584,0.6642863093630728,0.5598323450710843
M3,2030,dual_calibrated,-0.3,clean,0.31377171489746813,0.5563186813186813,0.5405376591210894,0.6187407811515157,0.6175323298757928
M3,2030,dual_calibrated,-0.3,stress,0.31377171489746813,0.5427537552648788,0.5233581193255874,0.6642863093630728,0.5598323450710843
