variant,seed,mask_seed,missing_mode,position,span_fraction,n,infeasible_n,naturally_absent_n,support_negative,support_neutral,support_positive,mean_removed_steps_per_target_modality,actual_removed_observation_rate,actual_span_fraction,unique_mask_realizations_mean,one_feasible_start_n,accuracy,macro_f1,mae,pearson_r,delta_mae,delta_macro_f1
T0,2026,5101,text+audio+vision,late,0.35,699,29,15,200,175,324,8.278969957081545,0.35087719382902655,0.351272858380252,3.0028612303290414,18,0.5236051502145923,0.5184443218337127,0.6464843048430308,0.5280499032814773,0.05047608084859423,-0.05397111334823357
T0,2026,5101,text+audio+vision,late,0.55,699,29,15,200,175,324,12.955650929899857,0.5498875917394646,0.5502762229921914,1.849785407725322,194,0.47639484978540775,0.47099923650549613,0.6932553092766558,0.4348622044171618,0.09772395701793812,-0.10141619867645013
T0,2026,5102,text,early,0.15,724,4,0,206,181,337,3.546961325966851,0.15173924326471158,0.15173924326471158,3.5331491712707184,6,0.5621546961325967,0.5323326338668105,0.621376491486203,0.5743333982453522,0.030694993593580855,-0.04502795965208817
T0,2026,5102,text,early,0.35,724,4,0,206,181,337,8.319060773480663,0.3515275190944247,0.3515275190944247,2.8853591160220993,22,0.5483425414364641,0.5218669977031346,0.6416587368353625,0.5164702049036484,0.05097723894274031,-0.055493595815764074
T0,2026,5102,text,early,0.55,720,8,0,205,179,336,13.079166666666667,0.5495421643079805,0.5495421643079805,1.6833333333333333,277,0.5111111111111111,0.4887832456699147,0.6865468266316586,0.43565641618144985,0.09571414244257737,-0.09013127199192517
T0,2026,5102,text,middle,0.15,723,5,0,206,181,336,3.5504840940525586,0.15125755480449682,0.15125755480449682,3.5933609958506225,9,0.5615491009681881,0.5327972364630755,0.6270135004861721,0.57958787269893,0.035527614451542955,-0.04427577785644088
T0,2026,5102,text,middle,0.35,723,5,0,206,181,336,8.329183955739973,0.35132216296592456,0.35132216296592456,3.659751037344398,4,0.5463347164591977,0.5233906708368594,0.6517238913111667,0.5209339287220109,0.060238005276537554,-0.05368234348265699
T0,2026,5102,text,middle,0.55,723,5,0,206,181,336,13.034578146611342,0.5502586790711101,0.5502586790711101,3.680497925311203,10,0.4785615491009682,0.47107645174766744,0.6944927622462375,0.41515921526436217,0.10300687621160831,-0.10599656257184897
T0,2026,5102,text,late,0.15,724,4,0,206,181,337,3.546961325966851,0.15173924326471158,0.15173924326471158,3.546961325966851,6,0.5718232044198895,0.5548156104547082,0.6125148759732918,0.6080045288219292,0.021833378080669652,-0.022544983064190505
T0,2026,5102,text,late,0.35,724,4,0,206,181,337,8.319060773480663,0.3515275190944247,0.3515275190944247,2.9917127071823204,11,0.5082872928176796,0.5049039087291303,0.6627418344109757,0.5025123153831086,0.07206033651835353,-0.07245668478976841
T0,2026,5102,text,late,0.55,724,4,0,206,181,337,13.017955801104973,0.5501892610060948,0.5501892610060948,1.830110497237569,201,0.4447513812154696,0.44079144699698625,0.702340146619312,0.4294384847588601,0.11165864872668985,-0.13656914652191243
T0,2026,5102,audio,early,0.15,723,5,0,206,180,337,3.5421853388658366,0.15174741188149082,0.15174741188149082,3.4398340248962658,6,0.6016597510373444,0.5763870471957366,0.5914984847500117,0.636493370537716,0.0,0.0
T0,2026,5102,audio,early,0.35,723,5,0,206,180,337,8.307053941908714,0.3515238688211574,0.3515238688211574,2.9156293222683263,22,0.6016597510373444,0.5763870471957366,0.5914984847500117,0.636493370537716,0.0,0.0
